chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400T,Web User,0858636b3d4e48df9002a1f4af526521
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Entertainment,740d38a54e5c46e781b5a677015c7aa7
Notebook,24,Win10,4,2,High-End Graphics Cards,14,i7-7700HQ,Win Store App User,7480e80df29f41a48faa393c0accdb17
Notebook,16,Win10,4,6,Low-End Graphics Cards,22,i7-3820QM,Communication,d5f6d5dabfb34aa897b5ff41d44b5789
Notebook,8,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,Casual User,c0b18786f0b24135a837526152413ab9
Notebook,12,Win10,2,5,Low-Midrange Graphics Cards,22,2957U,Communication,d89965374470467890da925f457cdba3
Notebook,8,Win10,4,6,Low-End Graphics Cards,22,i7-4702MQ,Win Store App User,fddbd9b90ef6413c9acb0be3a33591a6
Desktop,8,Win10,2,2,Office-Class Graphics Cards,14,i3-7100,Win Store App User,d07d79c31fd34afba16e73bcc4aa9f2a
Notebook,4,Win10,4,4,Low-Midrange Graphics Cards,22,N3540,Web User,fa0e7f70140046c68da1d6b1bad26e9f
Notebook,16,Win10,2,6,Low-End Graphics Cards,22,i3-3110M,Content Creator/IT,e4c7452a2f004932ad50dcf88ecb6e43
Desktop,8,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Entertainment,fad7f7d57706482cb928d48035a4f473
Other,6,Win10,4,6,Low-End Graphics Cards,45,Q9000,Casual User,dc8194360d8e4f6da48dc982476de93f
Notebook,4,Win10,2,-1,,-1,Unknown,Win Store App User,05fe60ab24a84e129659a0afb4bf6fdd
Notebook,8,Win10,2,3,,14,i5-6300U,Content Creator/IT,0a8e4e7720324811b43f6ea9697cf6f9
Notebook,4,Win10,2,1,Low-Midrange Graphics Cards,14,i3-8145U,Casual User,0364f346d2654843877f1f598b95bdfc
Desktop,8,Win10,4,1,Mid-Range Graphics Cards,14,i5-7400,Casual Gamer,08663a1db90f4a3cbd21554fde06d5a1
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual Gamer,054805f59eef4ce4ba249776d9bcb873
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,06176fa861704bd5ae6009c05e1c911c
Notebook,32,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Web User,061145b3c5434fa090626c795b29f541
Notebook,4,Win10,2,4,Low-Midrange Graphics Cards,22,N2840,Web User,072bbc8a8b60479eb18c721839f3832c
Notebook,4,Win10,4,2,,14,N3450,Web User,05c2bd9891744f82ad933a77e37bccf8
Desktop,4,Win10,2,6,Low-End Graphics Cards,22,i3-4130,Web User,05874adbd8334570b4297c7c9d8caaf1
Desktop,8,Win10,2,-1,Mid-Range Graphics Cards,-1,Unknown,Gamer,04dc3c2be7a64c318fd718852ab7bca8
